word,prompt
menu,"Transparent square PNG image of menu, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
meter,"Transparent square PNG image of meter, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
microwave,"Transparent square PNG image of microwave, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
milestone,"Transparent square PNG image of milestone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
milkshake,"Transparent square PNG image of milkshake, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
mitten,"Transparent square PNG image of mitten, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
molar,"Transparent square PNG image of molar, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
motor,"Transparent square PNG image of motor, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
muffin,"Transparent square PNG image of muffin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
musket,"Transparent square PNG image of musket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
muskrat,"Transparent square PNG image of muskrat, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
nameplate,"Transparent square PNG image of nameplate, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
napkin,"Transparent square PNG image of napkin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
ninepin,"Transparent square PNG image of ninepin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
nosecone,"Transparent square PNG image of nosecone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
nuthatch,"Transparent square PNG image of nuthatch, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
nutmeg,"Transparent square PNG image of nutmeg, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
nutshell,"Transparent square PNG image of nutshell, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
oatcake,"Transparent square PNG image of oatcake, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
octopus,"Transparent square PNG image of octopus, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
olive,"Transparent square PNG image of olive, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
packet,"Transparent square PNG image of packet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
palace,"Transparent square PNG image of palace, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pancake,"Transparent square PNG image of pancake, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
paper,"Transparent square PNG image of paper, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
patio,"Transparent square PNG image of patio, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pavement,"Transparent square PNG image of pavement, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pelican,"Transparent square PNG image of pelican, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pellet,"Transparent square PNG image of pellet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pencil,"Transparent square PNG image of pencil, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
perfume,"Transparent square PNG image of perfume, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
piano,"Transparent square PNG image of piano, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
picket,"Transparent square PNG image of picket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
picnic,"Transparent square PNG image of picnic, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pigpen,"Transparent square PNG image of pigpen, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pilgrim,"Transparent square PNG image of pilgrim, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pinhole,"Transparent square PNG image of pinhole, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pipeline,"Transparent square PNG image of pipeline, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pirate,"Transparent square PNG image of pirate, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
piston,"Transparent square PNG image of piston, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pocket,"Transparent square PNG image of pocket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
potato,"Transparent square PNG image of potato, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
primate,"Transparent square PNG image of primate, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
puffin,"Transparent square PNG image of puffin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pulpit,"Transparent square PNG image of pulpit, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
pumpkin,"Transparent square PNG image of pumpkin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
puppet,"Transparent square PNG image of puppet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
quicksand,"Transparent square PNG image of quicksand, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
rabbit,"Transparent square PNG image of rabbit, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
racket,"Transparent square PNG image of racket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
racehorse,"Transparent square PNG image of racehorse, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
radio,"Transparent square PNG image of radio, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
radish,"Transparent square PNG image of radish, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
razor,"Transparent square PNG image of razor, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
reptile,"Transparent square PNG image of reptile, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
ribbon,"Transparent square PNG image of ribbon, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
rifle,"Transparent square PNG image of rifle, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
robin,"Transparent square PNG image of robin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
rocket,"Transparent square PNG image of rocket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
rucksack,"Transparent square PNG image of rucksack, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sandal,"Transparent square PNG image of sandal, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sandbox,"Transparent square PNG image of sandbox, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sandwich,"Transparent square PNG image of sandwich, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
seaside,"Transparent square PNG image of seaside, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
shellfish,"Transparent square PNG image of shellfish, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
shipwreck,"Transparent square PNG image of shipwreck, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
shotgun,"Transparent square PNG image of shotgun, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sidewalk,"Transparent square PNG image of sidewalk, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
singlet,"Transparent square PNG image of singlet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
skillet,"Transparent square PNG image of skillet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
slingshot,"Transparent square PNG image of slingshot, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
snapshot,"Transparent square PNG image of snapshot, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
socket,"Transparent square PNG image of socket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
spider,"Transparent square PNG image of spider, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
stable,"Transparent square PNG image of stable, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
stampede,"Transparent square PNG image of stampede, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
stoneware,"Transparent square PNG image of stoneware, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
stovepipe,"Transparent square PNG image of stovepipe, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
studio,"Transparent square PNG image of studio, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sunfish,"Transparent square PNG image of sunfish, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sunlamp,"Transparent square PNG image of sunlamp, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sunset,"Transparent square PNG image of sunset, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
sunshine,"Transparent square PNG image of sunshine, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
table,"Transparent square PNG image of table, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tablet,"Transparent square PNG image of tablet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tadpole,"Transparent square PNG image of tadpole, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
talcum,"Transparent square PNG image of talcum, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
telephone,"Transparent square PNG image of telephone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
telescope,"Transparent square PNG image of telescope, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tennis,"Transparent square PNG image of tennis, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
termite,"Transparent square PNG image of termite, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
textile,"Transparent square PNG image of textile, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
thicket,"Transparent square PNG image of thicket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
ticket,"Transparent square PNG image of ticket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tidbit,"Transparent square PNG image of tidbit, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tiger,"Transparent square PNG image of tiger, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tomcat,"Transparent square PNG image of tomcat, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
towrope,"Transparent square PNG image of towrope, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
trellis,"Transparent square PNG image of trellis, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
trombone,"Transparent square PNG image of trombone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
trumpet,"Transparent square PNG image of trumpet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tunnel,"Transparent square PNG image of tunnel, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
tutor,"Transparent square PNG image of tutor, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
umpire,"Transparent square PNG image of umpire, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
